conversation_id,agent_id,prompt_version,resolution_rate,compliance_score,information_capture_rate,handoff_quality,conversation_efficiency,overall_score,compliance_violations,timestamp
b6da8040-f854-4e09-afff-69a7c1caa293,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 03:27:43 GMT+0530 (India Standard Time)
22a661ae-bd43-4073-ab6c-ca769ec0b568,assessment,v1,7,4,10,5,8,6.45,"did not ask for specific loan account before discussing debt status; asked for financial information (monthly income) without proper context",Fri May 22 2026 03:28:02 GMT+0530 (India Standard Time)
ef950655-a0c9-498d-928b-bed58ac712f1,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 03:28:13 GMT+0530 (India Standard Time)
8800e8a8-0170-4342-af3d-a0bde9046e82,assessment,v1,5,8,0,5,7,5.35,"Did not acknowledge request for human representative in multiple turns, and instead attempted to continue verification",Fri May 22 2026 03:28:26 GMT+0530 (India Standard Time)
bd7e4bbd-d771-461e-a22d-10494d739f50,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 03:28:41 GMT+0530 (India Standard Time)
f9bd20ef-818f-4dd6-9b87-38c30e230310,assessment,v1,9.2,9.5,1,9,8.5,7.97,"",Fri May 22 2026 03:49:01 GMT+0530 (India Standard Time)
7a705001-6667-42ab-a098-5743050215ad,assessment,v1,1,0,0,2.5,3,0.9,"Failed to verify identity; Did not inform debt validation request; Did not inform consumer of right to dispute debt; Failed to obtain written agreement for partial payment or settlement",Fri May 22 2026 03:49:19 GMT+0530 (India Standard Time)
8f17cf31-90b3-43ff-a708-69150e6b168a,assessment,v1,8,6,1,5,6,5.85,"Failure to confirm the debt amount; Request for debt amount confirmation was not handled correctly",Fri May 22 2026 03:49:34 GMT+0530 (India Standard Time)
cf249a9f-f540-444b-ab69-73f05112fe1a,assessment,v1,8.5,9,1,5,8.5,7.175,"",Fri May 22 2026 03:49:44 GMT+0530 (India Standard Time)
6291aeb8-d25b-41be-9f78-ea7ae7d9dedc,assessment,v1,8,9,0,5,7,6.7,"",Fri May 22 2026 03:49:55 GMT+0530 (India Standard Time)
d414df3c-da38-4429-a636-253484540891,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 03:50:07 GMT+0530 (India Standard Time)
dac00b16-6a9d-4f1d-92d9-909fbc46d7dd,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 03:50:16 GMT+0530 (India Standard Time)
d725c838-ebcf-42a5-aee0-c14de06d3358,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 03:50:30 GMT+0530 (India Standard Time)
4c49e59b-f22f-4441-b3c7-08e30a534215,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 03:50:42 GMT+0530 (India Standard Time)
d0261013-1a55-440a-b50b-e213e8a65dce,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 03:50:54 GMT+0530 (India Standard Time)
fc723d5d-8cbf-48ff-85fd-4fdf0becc223,assessment,v1,0,8,0,10,6,4,"Failed to provide script and disclosure before initiating the conversation.; Did not allow for sufficient time to verify account information.; Failed to escalate issue properly to supervisor",Fri May 22 2026 03:51:09 GMT+0530 (India Standard Time)
bfa49e41-2310-4a83-b7bd-1dda629ea683,assessment,v1,6.2,8.5,4,5,4.8,6.3,"Failure to confirm debt amount before offering assistance",Fri May 22 2026 03:51:22 GMT+0530 (India Standard Time)
47f627a6-42c5-40e5-9a30-4e33896187a8,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 03:51:33 GMT+0530 (India Standard Time)
8918206f-f8d0-44c4-ae31-85e11d4c4d98,assessment,v1,0,6,0,5,5,2.8,"multiple attempts to verify account information despite user's refusal; failure to escalate to supervisor or provide alternative options",Fri May 22 2026 03:51:46 GMT+0530 (India Standard Time)
64c48c87-a8d2-4e3a-9b06-6fc4ef9e8ba3,assessment,v1,9.5,8.5,10,5,7.5,8.625,"Requesting personal information without explicit permission",Fri May 22 2026 03:52:02 GMT+0530 (India Standard Time)
088c8879-5eff-4f2f-a375-13feff580618,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 04:16:23 GMT+0530 (India Standard Time)
78d32bc6-ce60-4f4d-85c5-9d0f06b933d9,assessment,v1,0,2,0,5,4,1.5,"Failed to end conversation after 'stop contacting me' request; Continued conversation after borrower's previous request to end",Fri May 22 2026 04:16:38 GMT+0530 (India Standard Time)
7376df25-587d-45bc-865f-619260474436,assessment,v1,9,8,0,5,8,6.85,"Failed to disclose the collector's name and address",Fri May 22 2026 04:16:53 GMT+0530 (India Standard Time)
4d6bf80e-7160-43ab-8a8a-a31a9106d514,assessment,v1,4.5,8,1,5,7,5.325,"Repeatedly asked questions already answered, e.g., reconfirming the debt amount",Fri May 22 2026 04:17:08 GMT+0530 (India Standard Time)
dce0766b-f9d5-406a-8578-927b6a63613f,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 04:17:27 GMT+0530 (India Standard Time)
d87c5443-e6c8-4918-8895-3efdd304d74e,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 04:17:45 GMT+0530 (India Standard Time)
9fb567d3-34df-4e3b-a056-2ef27b24f073,assessment,v1,8.5,9.5,1,9,9.5,7.825,"",Fri May 22 2026 04:17:56 GMT+0530 (India Standard Time)
4481264e-66ea-404d-9366-4d6a53abfa2d,assessment,v1,6,2,0,5,2,3.4,"Agent failed to verify identity after multiple requests.; Agent did not have written permission to discuss the debt amount with the customer.; Agent did not properly address the customer's concern regarding the lack of proof of debt.",Fri May 22 2026 04:18:20 GMT+0530 (India Standard Time)
79a4a4d2-8475-438a-9fc0-5bdebf9470d4,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 04:18:32 GMT+0530 (India Standard Time)
3043257f-1512-4f48-89cd-f7a1c9ed0068,assessment,v1,9.5,9.5,1,5,8,7.625,"",Fri May 22 2026 04:18:45 GMT+0530 (India Standard Time)
8eef7c0e-a5e0-4bfd-bb63-9960e6972c3d,assessment,v1,0,5,0,5,2,2.2,"Failed to follow protocol for suspected scam reporting; Multiple repetitions of scripted response",Fri May 22 2026 04:18:58 GMT+0530 (India Standard Time)
34f1406d-ce75-49ac-9982-21674656745a,assessment,v1,8,8,9,5,9,7.95,"",Fri May 22 2026 04:19:12 GMT+0530 (India Standard Time)
19b89c99-87e0-45d2-b687-f20ac26388f9,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 04:19:26 GMT+0530 (India Standard Time)
d378d20e-3e33-4ada-ac66-e9909b897d6c,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 04:19:37 GMT+0530 (India Standard Time)
1b9de117-e5e5-4970-9392-f13f9cdc4d4f,assessment,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 04:19:51 GMT+0530 (India Standard Time)
50b797bd-f503-4a07-9fb1-6d5226602d39,final_notice,v1,9,8,0,5,7,6.75,"Failed to acknowledge receipt of hardship program (although acknowledged in the borrower's statement)",Sat May 23 2026 00:53:25 GMT+0530 (India Standard Time)
d967c8ed-8830-4ded-b4e8-dec78836dfee,final_notice,v1,0,6,0,5,3,2.6,"failed to provide verification of debt",Sat May 23 2026 00:53:34 GMT+0530 (India Standard Time)
3f71f031-8ab1-4bcd-9f30-4b4191582265,final_notice,v1,8,6,0,5,7,5.8,"No explicit reference to the right to dispute the debt; No mention of the consumer's right to speak with a supervisor",Sat May 23 2026 00:53:46 GMT+0530 (India Standard Time)
9f4f5c11-604b-4464-83e7-d0248db528a8,final_notice,v1,8,6,0,5,7,5.8,"Did not discuss potential debt forgiveness; Referred to legal collections without confirming account status; Referred to credit bureau reporting without confirming account status",Sat May 23 2026 00:53:53 GMT+0530 (India Standard Time)
c03d1e83-c1a7-449b-a4ed-1f2bb817f842,final_notice,v1,10,8,0,5,9,7.3,"failed to state FDCPA warning in initial message",Sat May 23 2026 00:53:59 GMT+0530 (India Standard Time)
a110142b-3843-4bb2-b9ab-449b152a4774,final_notice,v1,4,9,1,5,8,5.55,"Assistance program information was not provided in the initial notice (compliance rule: 'Provide assistance program information in initial notice'); Warning given for emotional distress (compliance rule: 'Manage emotional distress during conversation')",Sat May 23 2026 00:54:15 GMT+0530 (India Standard Time)
66bbc765-23b7-470c-b014-cd7176d73aeb,final_notice,v1,8,9,0,5,9,6.9,"agent failed to capture borrower's contact information; agent failed to capture borrower's payment method information",Sat May 23 2026 00:54:23 GMT+0530 (India Standard Time)
ce53592d-6bd8-4714-a873-451edcc0a19f,final_notice,v1,3,7,0,9,4,4.45,"Failed to provide clear explanation of potential credit bureau reporting; Did not adequately explain the payment plan",Sat May 23 2026 00:54:33 GMT+0530 (India Standard Time)
f68c0f31-f8fc-4e8e-a1e3-0ce671e9af8b,final_notice,v1,5,9,0,8,6,5.85,"Repeatedly re-iterating consequences without prompting from user",Sat May 23 2026 00:54:43 GMT+0530 (India Standard Time)
9c46fcf1-f6a4-493e-b936-754f753afc48,final_notice,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 00:54:52 GMT+0530 (India Standard Time)
1197b242-939d-44ba-9343-cb365afb372c,final_notice,v1,0,0,0,5,3,0.8,"Failed to disclose account details and payment plan as per compliance rules; Failed to provide warning about consequences of non-payment as per compliance rules; Terminated conversation without allowing borrower to resolve issue",Sat May 23 2026 00:55:02 GMT+0530 (India Standard Time)
3d5ded87-52b0-482c-a576-28c3c975ed3c,final_notice,v1,6,3,0,5,7,4.2,"Failure to provide hardship program alternatives in a timely manner; Repeatedly stated consequence of missing payment",Sat May 23 2026 00:55:10 GMT+0530 (India Standard Time)
393fd7b9-0b42-4dd1-8c0a-34de2c3aaf94,final_notice,v1,8,9,0,5,7,6.7,"Repeatedly re-iterating terms after initial dispute; Failed to clarify conflicting information from user",Sat May 23 2026 00:55:21 GMT+0530 (India Standard Time)
60aaf941-1993-4467-901f-a0c169d14746,final_notice,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 00:55:34 GMT+0530 (India Standard Time)
fc7ffcbe-71cf-4fa6-a310-0a5357e64e7a,final_notice,v1,3,8,0,5,4,4.35,"Failed to offer payment plan or temporary repayment agreement",Sat May 23 2026 00:55:42 GMT+0530 (India Standard Time)
50b797bd-f503-4a07-9fb1-6d5226602d39,final_notice,v1,8,9,0,5,8,6.8,"Failed to follow up on previous borrower responses and offers; Did not immediately acknowledge the borrower's request for time to review the offer",Sat May 23 2026 01:11:33 GMT+0530 (India Standard Time)
d967c8ed-8830-4ded-b4e8-dec78836dfee,final_notice,v1,0,6,0,5,3,2.6,"Lack of clear terms and conditions, failure to provide verification process, aggressive tone",Sat May 23 2026 01:11:42 GMT+0530 (India Standard Time)
3f71f031-8ab1-4bcd-9f30-4b4191582265,final_notice,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 01:11:52 GMT+0530 (India Standard Time)
9f4f5c11-604b-4464-83e7-d0248db528a8,final_notice,v1,7,7,1,5,4,5.6,"failed to discuss adjustment; did not confirm agreement",Sat May 23 2026 01:12:00 GMT+0530 (India Standard Time)
c03d1e83-c1a7-449b-a4ed-1f2bb817f842,final_notice,v1,6,7,0,5,6,5.3,"No specific violation mentioned, the overall score is lower due to potential missing compliance requirements, e.g., providing additional information or context about the account balance, payment amount, etc.",Sat May 23 2026 01:12:04 GMT+0530 (India Standard Time)
a110142b-3843-4bb2-b9ab-449b152a4774,final_notice,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 01:12:22 GMT+0530 (India Standard Time)
66bbc765-23b7-470c-b014-cd7176d73aeb,final_notice,v1,7,8,0,5,6,5.95,"lack of explicit acknowledgment of the 'NO DEAL AGREEMENT ON CALL' statement",Sat May 23 2026 01:12:30 GMT+0530 (India Standard Time)
ce53592d-6bd8-4714-a873-451edcc0a19f,final_notice,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 01:12:39 GMT+0530 (India Standard Time)
f68c0f31-f8fc-4e8e-a1e3-0ce671e9af8b,final_notice,v1,5,8,0,5,7,5.35,"attempted to negotiate beyond terms presented; failed to reiterate consequences at the beginning of the conversation",Sat May 23 2026 01:12:49 GMT+0530 (India Standard Time)
9c46fcf1-f6a4-493e-b936-754f753afc48,final_notice,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 01:12:59 GMT+0530 (India Standard Time)
1197b242-939d-44ba-9343-cb365afb372c,final_notice,v1,0,5,0,5,1,2.1,"failure to acknowledge account balance or outstanding payment",Sat May 23 2026 01:13:06 GMT+0530 (India Standard Time)
3d5ded87-52b0-482c-a576-28c3c975ed3c,final_notice,v1,7,4,0,5,6,4.75,"Failure to acknowledge and document user's hardship status (multiple times); Misrepresentation of the hardship program's details",Sat May 23 2026 01:13:15 GMT+0530 (India Standard Time)
393fd7b9-0b42-4dd1-8c0a-34de2c3aaf94,final_notice,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 01:13:28 GMT+0530 (India Standard Time)
60aaf941-1993-4467-901f-a0c169d14746,final_notice,v1,2,6,0,5,3,3.3,"Providing false information about the verification of debt amount through identity confirmation process (multiple violations); Not adequately addressing the debtor's dispute about the debt validation process; Continuing to provide information about the consequences of non-payment without allowing the debtor to address the underlying dispute; Making a commitment to stop further communication without a formal agreement for non-response",Sat May 23 2026 01:13:40 GMT+0530 (India Standard Time)
fc7ffcbe-71cf-4fa6-a310-0a5357e64e7a,final_notice,v1,8,7,0,5,4,5.8,"Failed to acknowledge or confirm borrower's hardship situation; Failed to discuss hardship program details; Failed to assist borrower with exploring alternative payment options; Provided a clear explanation of next steps and consequences",Sat May 23 2026 01:13:47 GMT+0530 (India Standard Time)
50b797bd-f503-4a07-9fb1-6d5226602d39,final_notice,v1,8,7,0,5,6,6,"Did not provide the required deadline for borrower review of the final offer",Sat May 23 2026 02:09:52 GMT+0530 (India Standard Time)
d967c8ed-8830-4ded-b4e8-dec78836dfee,final_notice,v1,0,2,0,5,6,1.7," Failure to explain the debt verification process;  Threatening consequences without legal basis;  Failure to provide a clear resolution path",Sat May 23 2026 02:09:59 GMT+0530 (India Standard Time)
3f71f031-8ab1-4bcd-9f30-4b4191582265,final_notice,v1,7.5,8,0,5,6,6.125,"",Sat May 23 2026 02:10:12 GMT+0530 (India Standard Time)
9f4f5c11-604b-4464-83e7-d0248db528a8,final_notice,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 02:10:21 GMT+0530 (India Standard Time)
c03d1e83-c1a7-449b-a4ed-1f2bb817f842,final_notice,v1,8,7,0,5,6,6,"Failed to obtain customer's name, address, social security number, or date of birth",Sat May 23 2026 02:10:27 GMT+0530 (India Standard Time)
a110142b-3843-4bb2-b9ab-449b152a4774,final_notice,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 02:10:43 GMT+0530 (India Standard Time)
66bbc765-23b7-470c-b014-cd7176d73aeb,final_notice,v1,8,9,0,5,7,6.7,"",Sat May 23 2026 02:10:48 GMT+0530 (India Standard Time)
ce53592d-6bd8-4714-a873-451edcc0a19f,final_notice,v1,1,8,0,5,2,3.45,"Threatened legal action without verification of debt; Failed to provide clear instructions on next steps for borrower; Did not adequately address borrower's concerns about debt validity",Sat May 23 2026 02:10:59 GMT+0530 (India Standard Time)
f68c0f31-f8fc-4e8e-a1e3-0ce671e9af8b,final_notice,v1,4,9,9,5,6,6.55,"attempted renegotiation beyond terms",Sat May 23 2026 02:11:09 GMT+0530 (India Standard Time)
9c46fcf1-f6a4-493e-b936-754f753afc48,final_notice,v1,6,9,1,5,8,6.25,"Did not capture borrower response regarding offer; Re-asked for borrower identity confirmation and debt acknowledgment (already confirmed)",Sat May 23 2026 02:11:16 GMT+0530 (India Standard Time)
1197b242-939d-44ba-9343-cb365afb372c,final_notice,v1,0,0,0,5,8,1.3,"Refusal to comply with final notice; Threatening language towards the assistant",Sat May 23 2026 02:11:24 GMT+0530 (India Standard Time)
3d5ded87-52b0-482c-a576-28c3c975ed3c,final_notice,v1,5,8,0,5,7,5.35,"Repeated mention of collection consequences without a pause for client concern; failure to provide an alternative hardship program link upon client request",Sat May 23 2026 02:11:35 GMT+0530 (India Standard Time)
393fd7b9-0b42-4dd1-8c0a-34de2c3aaf94,final_notice,v1,9,7,0,5,9,6.65,"Agent failed to acknowledge disagreement and respect user's correction of agreement terms.",Sat May 23 2026 02:11:43 GMT+0530 (India Standard Time)
60aaf941-1993-4467-901f-a0c169d14746,final_notice,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 02:11:57 GMT+0530 (India Standard Time)
fc7ffcbe-71cf-4fa6-a310-0a5357e64e7a,final_notice,v1,0,7,0,5,6,3.2,"Failed to capture required fields; Did not follow up on borrower's request for assistance programs",Sat May 23 2026 02:12:04 GMT+0530 (India Standard Time)
50b797bd-f503-4a07-9fb1-6d5226602d39,final_notice,v1,8,9,0,5,8,6.8,"agent failed to acknowledge and document the borrower's previous statement regarding hardship",Sat May 23 2026 13:20:53 GMT+0530 (India Standard Time)
d967c8ed-8830-4ded-b4e8-dec78836dfee,final_notice,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 13:21:02 GMT+0530 (India Standard Time)
3f71f031-8ab1-4bcd-9f30-4b4191582265,final_notice,v1,7.5,8,0,5,8,6.325,"",Sat May 23 2026 13:21:10 GMT+0530 (India Standard Time)
9f4f5c11-604b-4464-83e7-d0248db528a8,final_notice,v1,9,8,10,5,5,8.05,"Did not provide clear guidance on adjusting payment terms",Sat May 23 2026 13:21:21 GMT+0530 (India Standard Time)
c03d1e83-c1a7-449b-a4ed-1f2bb817f842,final_notice,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 13:21:28 GMT+0530 (India Standard Time)
a110142b-3843-4bb2-b9ab-449b152a4774,final_notice,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 13:21:44 GMT+0530 (India Standard Time)
66bbc765-23b7-470c-b014-cd7176d73aeb,final_notice,v1,8.5,9,1,5,9.5,7.275,"none",Sat May 23 2026 13:21:53 GMT+0530 (India Standard Time)
ce53592d-6bd8-4714-a873-451edcc0a19f,final_notice,v1,2,6,0,5,6,3.6,"Agent did not verify the account details with the user before proceeding with the payment plan.; Agent did not provide the user with a clear explanation of the consequences of non-payment.; Agent was dismissive of the user's concerns and complaints, which may be considered non-compliant under certain regulatory standards.; Agent did not fully address the user's request for proof of the original loan agreement.",Sat May 23 2026 13:22:01 GMT+0530 (India Standard Time)
f68c0f31-f8fc-4e8e-a1e3-0ce671e9af8b,final_notice,v1,0,8,1,0,7,3.25,"Negotiation beyond stated terms; Multiple mentions of consequences and deadlines",Sat May 23 2026 13:22:12 GMT+0530 (India Standard Time)
9c46fcf1-f6a4-493e-b936-754f753afc48,final_notice,v1,8,9,1,5,8,6.95,"",Sat May 23 2026 13:22:21 GMT+0530 (India Standard Time)
1197b242-939d-44ba-9343-cb365afb372c,final_notice,v1,0,0,0,5,7.5,1.25,"Multiple warnings not given; Credit bureau reporting warning was given before final warning; Asset recovery review warning was given before final warning",Sat May 23 2026 13:22:31 GMT+0530 (India Standard Time)
3d5ded87-52b0-482c-a576-28c3c975ed3c,final_notice,v1,10,8,0,5,9,7.3,"Missed opportunity to clarify debt assistance options beyond hardship program during initial final notice.; Failed to verify user's acceptance of terms and confirm receipt within 24 hours.",Sat May 23 2026 13:22:38 GMT+0530 (India Standard Time)
393fd7b9-0b42-4dd1-8c0a-34de2c3aaf94,final_notice,v1,8,9,0,5,7,6.7,"Repeated incorrect confirmation attempt; Insufficient explanation for terms",Sat May 23 2026 13:22:49 GMT+0530 (India Standard Time)
60aaf941-1993-4467-901f-a0c169d14746,final_notice,v1,0,6,0,5,4,2.7,"Failed to provide an option for the consumer to opt-out of a third-party referral.; Threatening language used (credit bureau reporting, legal referral, and potential asset recovery).",Sat May 23 2026 13:23:02 GMT+0530 (India Standard Time)
fc7ffcbe-71cf-4fa6-a310-0a5357e64e7a,final_notice,v1,5,8,0,5,2,4.85,"Refused to make a commitment regarding payment or settlement",Sat May 23 2026 13:23:10 GMT+0530 (India Standard Time)
fdd470d3-1ede-47ae-afb3-5dfbea5c778b,resolution,v1,9,8,1,5,8,7,"No violation mentioned in the given transcript",Fri May 22 2026 17:42:09 GMT+0530 (India Standard Time)
120f210d-bd85-4533-9d2e-d4032bcda41a,resolution,v1,0,5,0,5,4,2.4,"",Fri May 22 2026 17:47:14 GMT+0530 (India Standard Time)
33f0816f-0c12-4cd2-833a-0139eaf6a5a3,resolution,v1,9.5,9.5,0,5,9,7.575,"No compliance violations found in this transcript.",Fri May 22 2026 17:58:44 GMT+0530 (India Standard Time)
a21ee421-57f9-46bc-92de-cafe50b4c214,resolution,v1,9.5,8.2,0,5,9.2,7.205,"Did not reiterate the time-sensitive nature of the offer at the beginning",Fri May 22 2026 22:30:22 GMT+0530 (India Standard Time)
0d1aec62-8164-440f-8f01-d4f434fc98c8,resolution,v1,0,4,0,5,3,2,"Failed to provide clear proof of debt; Repeated attempts to sell Hardship Referral Program; Did not verify documentation request before escalating to review team",Fri May 22 2026 22:35:36 GMT+0530 (India Standard Time)
0f9d5f61-e627-4d83-8d1f-7886553f461c,resolution,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 22:43:25 GMT+0530 (India Standard Time)
deea5536-051e-4f35-8804-b036566c4902,resolution,v1,9.5,9,5,5,8,8.075,"",Fri May 22 2026 22:51:18 GMT+0530 (India Standard Time)
7d737b59-ffe9-4873-ac8e-e06bba03039b,resolution,v1,2,8,0,7,2,4,"Failure to properly end the call (multiple requests to do so by the user); Repeated usage of phrases that could be considered scripted (despite efforts to provide a more empathetic response)",Fri May 22 2026 22:57:19 GMT+0530 (India Standard Time)
b1341f76-6927-4dc3-80e4-ecfe720e3d41,resolution,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 23:10:14 GMT+0530 (India Standard Time)
3775cb9e-6fe2-42b2-b76d-ff8f79516c79,resolution,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 23:16:54 GMT+0530 (India Standard Time)
30b4eb96-9ecb-40cf-ba9d-1a608a6bc74d,resolution,v1,7,4,0,0,6,4.25,"Initial greeting should have included the option to opt-out of being recorded.; Assistant failed to provide a clear option for the borrower to opt-out of future contact.; Assistant failed to adhere to guidelines for handling borrowers who dispute the legitimacy of the debt.",Fri May 22 2026 23:24:23 GMT+0530 (India Standard Time)
3ae8be88-6dcf-4d0f-aace-338bb289babf,resolution,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 23:37:05 GMT+0530 (India Standard Time)
1d98ebf3-b7ef-42ac-931b-65fb9b4a3000,resolution,v1,9.5,9,0,5,8,7.325,"The agent provided personal email address not compliant",Fri May 22 2026 23:43:40 GMT+0530 (India Standard Time)
41104d58-d856-4825-bdf8-ded9d4f8e4ee,resolution,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 23:48:34 GMT+0530 (India Standard Time)
517e5494-f8c8-4c60-b29c-5088aa889cfc,resolution,v1,5,5,0,5,5,4.25,"",Fri May 22 2026 23:57:40 GMT+0530 (India Standard Time)
85d23ae8-1af3-4532-a279-a22eeb4744a9,resolution,v1,9.5,9,10,5,8,8.825,"Repeated 'this call is being recorded' message; No clear escalation procedure in place",Sat May 23 2026 00:06:18 GMT+0530 (India Standard Time)
94a85fb6-ec7e-4d6e-b4e3-437cc65bb927,resolution,v1,8,6,0,5,7,5.8,"Refused all contact and threatened to report to a consumer protection agency (CFPB) early in the conversation.; Failed to clearly communicate the hardship referral program terms.; Engaged in settlement discussions despite disputed debt.; Misrepresented the purpose of the recorded call and potential future conversations.",Sat May 23 2026 00:13:46 GMT+0530 (India Standard Time)
c7065759-1dec-4131-bde1-eaa96b4e2389,resolution,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 00:22:19 GMT+0530 (India Standard Time)
a21ee421-57f9-46bc-92de-cafe50b4c214,resolution,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 00:38:46 GMT+0530 (India Standard Time)
0d1aec62-8164-440f-8f01-d4f434fc98c8,resolution,v1,0,6,0,0,2,2,"Agent did not provide borrower with clear documentation of debt, violating Section 809.123 of the company's compliance policy; Agent escalated case without providing borrower with clear explanation of next steps, violating Section 901.234 of the company's compliance policy",Sat May 23 2026 00:38:47 GMT+0530 (India Standard Time)
0f9d5f61-e627-4d83-8d1f-7886553f461c,resolution,v1,9,9,0,5,9.5,7.3,"",Sat May 23 2026 00:38:50 GMT+0530 (India Standard Time)
deea5536-051e-4f35-8804-b036566c4902,resolution,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 00:39:15 GMT+0530 (India Standard Time)
7d737b59-ffe9-4873-ac8e-e06bba03039b,resolution,v1,3,4,0,8,5,3.55,"Failure to obtain valid consent for the call",Sat May 23 2026 00:39:35 GMT+0530 (India Standard Time)
b1341f76-6927-4dc3-80e4-ecfe720e3d41,resolution,v1,5,5,0,5,5,4.25,"",Sat May 23 2026 00:40:22 GMT+0530 (India Standard Time)
3775cb9e-6fe2-42b2-b76d-ff8f79516c79,resolution,v1,8,9,0,5,8,6.8,"",Sat May 23 2026 00:40:47 GMT+0530 (India Standard Time)
